suspected_match_miss,stiga_supplier_code,stiga_supplier_desc,brand,shopify_sku,shopify_title,vendor,current_price,current_compare_at_price,product_handle
no,,,Mountfield,MF-327107506/0,Mountfield Side-Discharge Chute - for MTF 66 MQ | 327107506/0,Mountfield,26.95,,mountfield-side-discharge-chute-for-mtf-66-mq-ride-on-mower
no,,,Mountfield,MF-SP160R,Mountfield SP160R Self-Propelled Petrol Rear-Roller Lawnmower,Mountfield,349.00,449.00,mountfield-sp160r-123cc-41cm-self-propelled-petrol-rear-roller-lawnmower
no,,,Mountfield,MF-SP185,Mountfield SP185 3-in-1 Self-Propelled Petrol Lawnmower,Mountfield,349.95,399.00,mountfield-sp185-139cc-46cm-3-in-1-self-propelled-petrol-lawnmower
no,,,Mountfield,R-RTN567,Mountfield SP41 - Self-Propelled Petrol Lawn Mower,Mountfield,227.00,239.00,mountfield-sp41-self-propelled-petrol-lawn-mower-rtn567
no,,,Mountfield,MF-SP41,Mountfield SP41 Self-Propelled Petrol Lawnmower,Mountfield,219.95,269.00,mountfield-sp41-123cc-49cm-self-propelled-petrol-lawnmower
no,,,Mountfield,MF-SP42,Mountfield SP42 Self-Propelled Petrol Lawnmower,Mountfield,309.00,,mountfield-sp42-123cc-41cm-self-propelled-petrol-lawnmower
no,,,Mountfield,MF-SP46,Mountfield SP46 Self-Propelled Petrol Lawnmower,Mountfield,299.00,339.00,mountfield-sp46-139cc-46cm-self-propelled-petrol-lawnmower
no,,,Mountfield,MF-SP505R-V,Mountfield SP505R-V Variable-Speed Petrol Rear-Roller Lawnmower (with Honda Engine),Mountfield,819.00,945.00,mountfield-sp505r-v-167cc-48cm-variable-speed-petrol-rear-roller-lawnmower-with-honda-engine
no,,,Mountfield,MF-2L0536133/MC,Mountfield SP51H 3-in-1 Self-Propelled Petrol Lawnmower (with Honda Engine),Mountfield,409.00,459.00,mountfield-sp51h-145cc-51cm-3-in-1-self-propelled-petrol-lawnmower-with-honda-engine
no,,,Mountfield,MF-SP53,Mountfield SP53 3-in-1 Self-Propelled Petrol Lawnmower,Mountfield,349.00,399.00,mountfield-sp53-166cc-51cm-3-in-1-self-propelled-petrol-lawnmower
no,,,Mountfield,MF-SP53H,Mountfield SP53 Elite 3-in-1 Self-Propelled Petrol Lawnmower (with Honda Engine),Mountfield,479.00,499.00,mountfield-sp53h-elite-167cc-51cm-3-in-1-self-propelled-petrol-lawnmower-with-honda-engine
no,,,Mountfield,MF-2L0536033/MC,Mountfield SP53H 3-in-1 Self-Propelled Petrol Lawnmower (with Honda Engine),Mountfield,499.00,,mountfield-sp53h-51cm-167cc-3-in-1-self-propelled-petrol-lawnmower-with-honda-engine
no,,,Mountfield,C-SP53H-E,Mountfield SP53H-E Elite 3-in-1 Self-Propelled Petrol Lawnmower (with Electric-Start Honda Engine),Mountfield,489.95,549.95,mountfield-sp53h-e-elite-3-in-1-self-propelled-petrol-lawnmower-with-electric-start-honda-engine
no,,,Mountfield,MF-SP555V,Mountfield SP555-V 3-in-1 Variable-Speed Petrol Lawnmower (with Honda Engine),Mountfield,649.00,729.00,mountfield-sp555v-166cc-53cm-3-in-1-variable-speed-petrol-lawnmower-with-honda-engine
no,,,Mountfield,MF-SP555RV,Mountfield SP555R-V Variable-Speed Petrol Rear-Roller Lawnmower (with Honda Engine),Mountfield,939.00,1085.00,mountfield-sp555rv-201cc-53cm-variable-speed-petrol-rear-roller-lawnmower-with-honda-engine
no,,,Mountfield,a2488cdc-c2d3-4860-b7bf-9ceba5e90fe3,Mountfield T30M Gear Drive 2-in-1 Lawn Tractor with Free Trailer,Fast Bundle,1999.00,2198.00,bundle-product-1
no,,,Mountfield,1330M-XDISP,Mountfield T30M Rear-Collect Lawn Tractor with Manual Drive - Ex Demo,Mountfield,1799.00,2159.00,mountfield-t30m-rear-collect-lawn-tractor-with-manual-drive-ex-demo
no,,,Mountfield,1330M-XDISP,Mountfield T30M Rear-Collect Lawn Tractor with Manual Drive - Ex Demo,Mountfield,1799.00,2159.00,mountfield-t30m-1330-rear-collect-lawn-tractor-with-manual-drive-ex-demo-copy
no,,,Mountfield,MF-TOW-BAR-84CM-299900395-0,Mountfield Tow Bar - for 84cm & 98cm Rear-Collect Tractors | 299900395/0,Mountfield,80.00,,mountfield-tow-bar-84cm-98cm-cut-tractors-299900395-0
